state,total,State,population,executions_per_capita,executions_per_100k_people
TX,538,Texas,28704330,1.874281685028008e-05,1.874281685028008
OK,112,Oklahoma,3940521,2.8422637514176425e-05,2.8422637514176423
VA,111,Virginia,8525660,1.3019519896406847e-05,1.3019519896406846
FL,92,Florida,21312211,4.316774078484865e-06,0.43167740784848646
MO,87,Missouri,6135888,1.417887679827272e-05,1.417887679827272
GA,69,Georgia,10545138,6.54329986008718e-06,0.654329986008718
AL,58,Alabama,4888949,1.1863490496628212e-05,1.1863490496628213
OH,53,Ohio,11694664,4.531981423322637e-06,0.45319814233226363
SC,43,South Carolina,5088916,8.449736643324434e-06,0.8449736643324434
NC,43,North Carolina,10390149,4.13853545314894e-06,0.413853545314894
AZ,37,Arizona,7123898,5.193785761671489e-06,0.5193785761671489
LA,28,Louisiana,4682509,5.979700199188085e-06,0.5979700199188085
AR,27,Arkansas,3020327,8.939429406153705e-06,0.8939429406153705
MS,21,Mississippi,2982785,7.040400162934975e-06,0.7040400162934976
IN,20,Indiana,6699629,2.98523992895726e-06,0.298523992895726
DE,16,Delaware,971180,1.6474803846866697e-05,1.6474803846866697
CA,13,California,39776830,3.268234296197057e-07,0.032682342961970576
IL,12,Illinois,12768320,9.398260695220672e-07,0.09398260695220671
NV,12,Nevada,3056824,3.925643085764833e-06,0.39256430857648333
UT,7,Utah,3159345,2.2156491298038044e-06,0.22156491298038045
TN,6,Tennessee,6782564,8.846212140423592e-07,0.08846212140423593
WA,5,Washington,7530552,6.639619512620058e-07,0.06639619512620058
MD,5,Maryland,6079602,8.224222572464448e-07,0.08224222572464447
SD,3,South Dakota,877790,3.417673931122478e-06,0.3417673931122478
ID,3,Idaho,1753860,1.71051281174096e-06,0.17105128117409601
KY,3,Kentucky,4472265,6.708010370584033e-07,0.06708010370584033
MT,3,Montana,1062330,2.8239812487645084e-06,0.28239812487645083
NE,3,Nebraska,1932549,1.55235391185424e-06,0.155235391185424
PA,3,Pennsylvania,12823989,2.3393656997054505e-07,0.023393656997054504
OR,2,Oregon,4199563,4.762400278314672e-07,0.04762400278314672
WY,1,Wyoming,573720,1.743010527783588e-06,0.17430105277835878
NM,1,New Mexico,2090708,4.78306870208561e-07,0.0478306870208561
CO,1,Colorado,5684203,1.7592615886519183e-07,0.017592615886519183
CT,1,Connecticut,3588683,2.786537568238822e-07,0.02786537568238822
